#Employee,,,,,,,,,,,,,,,,,,,,,,,,,,
EmpCode,CompanyCode,IsPartime,EmploymentStartDate,EmploymentEndDate,EmploymentType,SurName,OtherName,FullChineseName,Gender,MobilePhone,HomePhone,BirthDate,Email,ICN,Passport,Country,MaritalStatus,SpouseName,SpousePassport,SpouseCountry,ResidentialAddress,PostalAddress,BankAccount,EmpTaxFileNum,Title,PaySlipDeliveryDay
$uid(),Ltd_netpay_monthly,test,,,1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
$uid(),Ltd_invoice_total_monthly,test,,,1/1/2018,$uid(A17),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#PayItemTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,
TemplateCode,FunctionName,DisplayName,Description,CompanyCode,PayType,Amount,Function,,,,,,,,,,,,,,,,,,,
Ltd_salary_monthly,salary,Salary,Employee's earning,Ltd,1,,,,,,,,,,,,,,,,,,,,,
Ltd_mgmt_monthly,mgmt,Payroll Fee,Management fee of cmp1 employees,Ltd,-1,,,,,,,,,,,,,,,,,,,,,
Ltd_mpf_monthly,mpf,Employee's MPF Contribution (Mandatory),Employee's MPF Contribution (Mandatory),Ltd,-1,,?(salary>30000)?1500:(salary * MpfPercent),,,,,,,,,,,,,,,,,,,
Ltd_empf_monthly,empf,Employer's MPF Contribution (Mandatory),Employer's MPF Contribution (Mandatory),Ltd,0,,?(salary>30000)?1500:(salary * MpfPercent),,,,,,,,,,,,,,,,,,,
Ltd_mobile_allowance,mallowance,Mobile Allowance,Mobile Allowance,Ltd,1,100,,,,,,,,,,,,,,,,,,,,
Ltd_netpay_monthly,netpay,Net Pay,Net Pay,Ltd,0,,?g('salary') - g('mpf'),,,,,,,,,,,,,,,,,,,
Ltd_invoice_total_monthly,total,Invoice Total,Invoice Total,Ltd,0,,?g('salary') + g('empf') + g('mgmt'),,,,,,,,,,,,,,,,,,,
TFHK_salary_monthly,salary,Salary,Employee's earning,TFHK,1,,,,,,,,,,,,,,,,,,,,,
TFHK_mgmt_monthly,mgmt,Payroll Fee,Management fee of cmp1 employees,TFHK,-1,,,,,,,,,,,,,,,,,,,,,
TFHK_mpf_monthly,mpf,Employee's MPF Contribution (Mandatory),Employee's MPF Contribution (Mandatory),TFHK,-1,,?(salary>30000)?1500:(salary * MpfPercent),,,,,,,,,,,,,,,,,,,
TFHK_empf_monthly,empf,Employer's MPF Contribution (Mandatory),Employer's MPF Contribution (Mandatory),TFHK,2,,?(salary>30000)?1500:(salary * MpfPercent),,,,,,,,,,,,,,,,,,,
TFHK_mobile_allowance,mallowance,Mobile Allowance,Mobile Allowance,TFHK,1,100,,,,,,,,,,,,,,,,,,,,
TFHK_netpay_monthly,netpay,Net Pay,Net Pay,TFHK,0,,?g('salary') - g('mpf'),,,,,,,,,,,,,,,,,,,
TFHK_invoice_total_monthly,total,Invoice Total,Invoice Total,TFHK,0,,?g('salary') + g('empf') + g('mgmt'),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#PayItemDisplay,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportItemId,TemplateCode,CompanyCode,ViewName,DisplayName,Description,DisplayIndex,Category,Visible,,,,,,,,,,,,,,,,,,
1,Ltd_salary_monthly,Ltd,Report,Salary,Relevant Income,1,,1,,,,,,,,,,,,,,,,,,
2,Ltd_mgmt_monthly,Ltd,Report,,,2,,1,,,,,,,,,,,,,,,,,,
3,Ltd_mpf_monthly,Ltd,Report,,,3,Salary Payment,1,,,,,,,,,,,,,,,,,,
4,Ltd_empf_monthly,Ltd,Report,,,4,Salary Payment,1,,,,,,,,,,,,,,,,,,
5,Ltd_mobile_allowance,Ltd,Report,,,5,,1,,,,,,,,,,,,,,,,,,
6,Ltd_netpay_monthly,Ltd,Report,,,6,,1,,,,,,,,,,,,,,,,,,
7,Ltd_invoice_total_monthly,Ltd,Report,,,7,,1,,,,,,,,,,,,,,,,,,
8,Ltd_salary_monthly,Ltd,Report,Relevant Income,Salary,8,Salary Payment,1,,,,,,,,,,,,,,,,,,
9,TFHK_salary_monthly,TFHK,Report,,,1,Salary Payment,1,,,,,,,,,,,,,,,,,,
10,TFHK_mgmt_monthly,TFHK,Report,,,2,,1,,,,,,,,,,,,,,,,,,
11,TFHK_mpf_monthly,TFHK,Report,,,3,Salary Payment,1,,,,,,,,,,,,,,,,,,
12,TFHK_empf_monthly,TFHK,Report,,,4,Salary Payment,1,,,,,,,,,,,,,,,,,,
13,TFHK_mobile_allowance,TFHK,Report,,,5,,1,,,,,,,,,,,,,,,,,,
14,TFHK_netpay_monthly,TFHK,Report,,,6,,1,,,,,,,,,,,,,,,,,,
15,TFHK_invoice_total_monthly,TFHK,Report,,,7,,1,,,,,,,,,,,,,,,,,,
16,TFHK_salary_monthly,TFHK,Report,Relevant Income,Salary,8,Salary Payment,1,,,,,,,,,,,,,,,,,,
17,Ltd_salary_monthly,Ltd,Payslip,,,1,,1,,,,,,,,,,,,,,,,,,
18,Ltd_mgmt_monthly,Ltd,Payslip,,,2,,0,,,,,,,,,,,,,,,,,,
19,Ltd_mpf_monthly,Ltd,Payslip,,,3,Deduction,1,,,,,,,,,,,,,,,,,,
20,Ltd_empf_monthly,Ltd,Payslip,,,4,,0,,,,,,,,,,,,,,,,,,
21,Ltd_mobile_allowance,Ltd,Payslip,,,5,Addition,1,,,,,,,,,,,,,,,,,,
22,Ltd_netpay_monthly,Ltd,Payslip,,,6,Addition,1,,,,,,,,,,,,,,,,,,
23,Ltd_invoice_total_monthly,TFHK,Payslip,,,7,,0,,,,,,,,,,,,,,,,,,
24,TFHK_salary_monthly,TFHK,Payslip,,,1,,1,,,,,,,,,,,,,,,,,,
25,TFHK_mgmt_monthly,TFHK,Payslip,,,2,,0,,,,,,,,,,,,,,,,,,
26,TFHK_mpf_monthly,TFHK,Payslip,,,3,Deduction,1,,,,,,,,,,,,,,,,,,
27,TFHK_empf_monthly,TFHK,Payslip,,,4,,0,,,,,,,,,,,,,,,,,,
28,TFHK_mobile_allowance,TFHK,Payslip,,,5,Addition,1,,,,,,,,,,,,,,,,,,
29,TFHK_netpay_monthly,TFHK,Payslip,,,6,Addition,1,,,,,,,,,,,,,,,,,,
30,TFHK_invoice_total_monthly,TFHK,Payslip,,,7,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#Company,,,,,,,,,,,,,,,,,,,,,,,,,,
CompanyCode,CompanyName,Address,Phone,Fax,PostalAddress,EmprTaxFileNum,ContactPersonEmail,CurrencyCode,PayDay,PeriodType,,,,,,,,,,,,,,,,
Ltd,Ltd,addr a,1234,1234,addr aa,1234,a@a.a,HKD,,0,,,,,,,,,,,,,,,,
TFHK,TFHK,addr b,2345,2345,addr bb,2345,b@b.b,HKD,5,1,,,,,,,,,,,,,,,,
test,test,addr b,2345,2345,addr bb,2345,b@b.b,HKD,5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#Role,,,,,,,,,,,,,,,,,,,,,,,,,,
RoleId,RoleName,Level,,,,,,,,,,,,,,,,,,,,,,,,
1,Administrators,0,,,,,,,,,,,,,,,,,,,,,,,,
2,Users,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#User,,,#UserRole,,,,,,,,,,,,,,,,,,,,,,,
UserCode,UserPwd,,UserCode,RoleId,,,,,,,,,,,,,,,,,,,,,,
admin,123,,admin,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#GlobalSettings,,,,,,,,,,,,,,,,,,,,,,,,,,
SettingId,MpfThreshold,MpfPercent,OvertimeMinWagePerHour,LongServiceMinPerHour,LongServiceMaxTotal,,,,,,,,,,,,,,,,,,,,,
1,30000,0.05,34.5,22.5,390000,,,,,,,,,,,,,,,,,,,,,
